tag,ckpt,port,p_hat,n,ci_lo,ci_hi,round
flw_20250821_061455_epMix_fair_unbalanced200,models/flw/flw_20250821_061455_epMix_fair_unbalanced200/global_round_063.pt,south_louisiana,0.545,1200,0.5167256694743447,0.5729871299504302,63
flw_20250821_061455_epMix_fair_unbalanced200,models/flw/flw_20250821_061455_epMix_fair_unbalanced200/global_round_064.pt,gulfport,0.4625,800,0.4282107603330616,0.4971476684917218,64
flw_20250821_061455_epMix_fair_unbalanced200,models/flw/flw_20250821_061455_epMix_fair_unbalanced200/global_round_064.pt,south_louisiana,0.545,1200,0.5167256694743447,0.5729871299504302,64
flw_20250821_061455_epMix_fair_unbalanced200,models/flw/flw_20250821_061455_epMix_fair_unbalanced200/global_round_051.pt,gulfport,0.4625,800,0.4282107603330616,0.4971476684917218,51
flw_20250821_061455_epMix_fair_unbalanced200,models/flw/flw_20250821_061455_epMix_fair_unbalanced200/global_round_051.pt,south_louisiana,0.545,1200,0.5167256694743447,0.5729871299504302,51
flw_20250821_061455_epMix_fair_unbalanced200,models/flw/flw_20250821_061455_epMix_fair_unbalanced200/global_round_114.pt,gulfport,0.4625,800,0.4282107603330616,0.4971476684917218,114
flw_20250821_061455_epMix_fair_unbalanced200,models/flw/flw_20250821_061455_epMix_fair_unbalanced200/global_round_114.pt,south_louisiana,0.545,1200,0.5167256694743447,0.5729871299504302,114
flw_20250821_061455_epMix_fair_unbalanced200,models/flw/flw_20250821_061455_epMix_fair_unbalanced200/global_round_050.pt,gulfport,0.4625,800,0.4282107603330616,0.4971476684917218,50
flw_20250821_061455_epMix_fair_unbalanced200,models/flw/flw_20250821_061455_epMix_fair_unbalanced200/global_round_050.pt,south_louisiana,0.545,1200,0.5167256694743447,0.5729871299504302,50
flw_20250821_061455_epMix_fair_unbalanced200,models/flw/flw_20250821_061455_epMix_fair_unbalanced200/global_round_149.pt,gulfport,0.4625,800,0.4282107603330616,0.4971476684917218,149
flw_20250821_061455_epMix_fair_unbalanced200,models/flw/flw_20250821_061455_epMix_fair_unbalanced200/global_round_149.pt,south_louisiana,0.545,1200,0.5167256694743447,0.5729871299504302,149
flw_20250821_061455_epMix_fair_unbalanced200,models/flw/flw_20250821_061455_epMix_fair_unbalanced200/global_round_006.pt,gulfport,0.4625,800,0.4282107603330616,0.4971476684917218,6
flw_20250821_061455_epMix_fair_unbalanced200,models/flw/flw_20250821_061455_epMix_fair_unbalanced200/global_round_006.pt,south_louisiana,0.545,1200,0.5167256694743447,0.5729871299504302,6
