exp,tag,port,seed,success_rate,avg_reward,file
Unbalanced200,flw_20250821_060608_Unbalanced200_8_8_vs_2_2,baton_rouge,123,0.5095833333333334,32.18580080861402,reports/FLW_flw_20250821_060608_Unbalanced200_8_8_vs_2_2/nightly/forced_baton_rouge_seed123.json
Unbalanced200,flw_20250821_060608_Unbalanced200_8_8_vs_2_2,baton_rouge,2025,0.5283333333333333,32.56134538592838,reports/FLW_flw_20250821_060608_Unbalanced200_8_8_vs_2_2/nightly/forced_baton_rouge_seed2025.json
Unbalanced200,flw_20250821_060608_Unbalanced200_8_8_vs_2_2,baton_rouge,42,0.5191666666666667,32.276704259388886,reports/FLW_flw_20250821_060608_Unbalanced200_8_8_vs_2_2/nightly/forced_baton_rouge_seed42.json
Unbalanced200,flw_20250821_060608_Unbalanced200_8_8_vs_2_2,gulfport,123,0.430625,22.15842458018213,reports/FLW_flw_20250821_060608_Unbalanced200_8_8_vs_2_2/nightly/forced_gulfport_seed123.json
Unbalanced200,flw_20250821_060608_Unbalanced200_8_8_vs_2_2,gulfport,2025,0.42,21.92840608652136,reports/FLW_flw_20250821_060608_Unbalanced200_8_8_vs_2_2/nightly/forced_gulfport_seed2025.json
Unbalanced200,flw_20250821_060608_Unbalanced200_8_8_vs_2_2,gulfport,42,0.435625,22.131847238993217,reports/FLW_flw_20250821_060608_Unbalanced200_8_8_vs_2_2/nightly/forced_gulfport_seed42.json
Unbalanced200,flw_20250821_060608_Unbalanced200_8_8_vs_2_2,new_orleans,123,0.508,26.84614827337036,reports/FLW_flw_20250821_060608_Unbalanced200_8_8_vs_2_2/nightly/forced_new_orleans_seed123.json
Unbalanced200,flw_20250821_060608_Unbalanced200_8_8_vs_2_2,new_orleans,2025,0.4935,26.293588645877584,reports/FLW_flw_20250821_060608_Unbalanced200_8_8_vs_2_2/nightly/forced_new_orleans_seed2025.json
Unbalanced200,flw_20250821_060608_Unbalanced200_8_8_vs_2_2,new_orleans,42,0.49825,26.671387956538464,reports/FLW_flw_20250821_060608_Unbalanced200_8_8_vs_2_2/nightly/forced_new_orleans_seed42.json
Unbalanced200,flw_20250821_060608_Unbalanced200_8_8_vs_2_2,south_louisiana,123,0.5095833333333334,29.281098110100242,reports/FLW_flw_20250821_060608_Unbalanced200_8_8_vs_2_2/nightly/forced_south_louisiana_seed123.json
Unbalanced200,flw_20250821_060608_Unbalanced200_8_8_vs_2_2,south_louisiana,2025,0.5283333333333333,29.73665357836333,reports/FLW_flw_20250821_060608_Unbalanced200_8_8_vs_2_2/nightly/forced_south_louisiana_seed2025.json
Unbalanced200,flw_20250821_060608_Unbalanced200_8_8_vs_2_2,south_louisiana,42,0.5191666666666667,29.39882672811725,reports/FLW_flw_20250821_060608_Unbalanced200_8_8_vs_2_2/nightly/forced_south_louisiana_seed42.json
FairUnbalanced200,flw_20250821_061455_epMix_fair_unbalanced200,baton_rouge,123,0.5270833333333333,32.61102473519091,reports/FLW_flw_20250821_061455_epMix_fair_unbalanced200/nightly/forced_baton_rouge_seed123.json
FairUnbalanced200,flw_20250821_061455_epMix_fair_unbalanced200,baton_rouge,2025,0.53,32.57094079149598,reports/FLW_flw_20250821_061455_epMix_fair_unbalanced200/nightly/forced_baton_rouge_seed2025.json
FairUnbalanced200,flw_20250821_061455_epMix_fair_unbalanced200,baton_rouge,42,0.5329166666666667,32.760733371404406,reports/FLW_flw_20250821_061455_epMix_fair_unbalanced200/nightly/forced_baton_rouge_seed42.json
FairUnbalanced200,flw_20250821_061455_epMix_fair_unbalanced200,gulfport,123,0.464375,23.040432016755425,reports/FLW_flw_20250821_061455_epMix_fair_unbalanced200/nightly/forced_gulfport_seed123.json
FairUnbalanced200,flw_20250821_061455_epMix_fair_unbalanced200,gulfport,2025,0.465625,23.174728251778124,reports/FLW_flw_20250821_061455_epMix_fair_unbalanced200/nightly/forced_gulfport_seed2025.json
FairUnbalanced200,flw_20250821_061455_epMix_fair_unbalanced200,gulfport,42,0.45125,22.577020667044813,reports/FLW_flw_20250821_061455_epMix_fair_unbalanced200/nightly/forced_gulfport_seed42.json
FairUnbalanced200,flw_20250821_061455_epMix_fair_unbalanced200,new_orleans,123,0.52475,27.40814137281948,reports/FLW_flw_20250821_061455_epMix_fair_unbalanced200/nightly/forced_new_orleans_seed123.json
FairUnbalanced200,flw_20250821_061455_epMix_fair_unbalanced200,new_orleans,2025,0.5265,27.21307936899028,reports/FLW_flw_20250821_061455_epMix_fair_unbalanced200/nightly/forced_new_orleans_seed2025.json
FairUnbalanced200,flw_20250821_061455_epMix_fair_unbalanced200,new_orleans,42,0.52675,27.339794922600152,reports/FLW_flw_20250821_061455_epMix_fair_unbalanced200/nightly/forced_new_orleans_seed42.json
FairUnbalanced200,flw_20250821_061455_epMix_fair_unbalanced200,south_louisiana,123,0.5270833333333333,29.791219819165914,reports/FLW_flw_20250821_061455_epMix_fair_unbalanced200/nightly/forced_south_louisiana_seed123.json
FairUnbalanced200,flw_20250821_061455_epMix_fair_unbalanced200,south_louisiana,2025,0.53,29.748203617960215,reports/FLW_flw_20250821_061455_epMix_fair_unbalanced200/nightly/forced_south_louisiana_seed2025.json
FairUnbalanced200,flw_20250821_061455_epMix_fair_unbalanced200,south_louisiana,42,0.5329166666666667,29.97929697913472,reports/FLW_flw_20250821_061455_epMix_fair_unbalanced200/nightly/forced_south_louisiana_seed42.json
